title,price,rating,reviews,availability
"Playstation Sony 4, 500GB Slim System [CUH-2215AB01], Black, 3003347",,4.5 out of 5 stars,353 ratings,In Stock
PlayStation®4 Console – Call of Duty® Modern Warfare II Bundle,,4.5 out of 5 stars,100 ratings,In Stock
"Wireless Controller Dual Vibration Game Joystick Controller for Ps4 Controller/Slim/Pro,Compatible with PS4 Console",,4.0 out of 5 stars,"2,242 ratings",In Stock
$250 PlayStation Store Gift Card [Digital Code],,4.7 out of 5 stars,"250,845 ratings",Available now
"PS4 Controller Charger Dock Station, OIVO 1.8Hrs PS4 Controller Charging Dock, Charging Station Replacement for Playstation 4 Dualshock 4 Charger",,4.7 out of 5 stars,"38,873 ratings",In Stock
"Wireless Controller for PS4, Custom Design V2 Gamepad Joystick for PS4 with Non-Slip Grip of Both Sides and 3.5mm Audio Jack! Thumb Caps Included! (Galaxy)",,4.2 out of 5 stars,"2,728 ratings",In Stock
"FASIGO PS4 Controller 2 Pack, Wireless PS4 Controller for PS4 / Pro/Slim & PC, with 2 USB C Cable - Black",,4.3 out of 5 stars,126 ratings,In Stock
"PS4 Controller Wireless 2 Pack, Compatible with PlayStation 4 & PC Windows - Black & White",,4.2 out of 5 stars,75 ratings,In Stock
Grand Theft Auto V: Premium Edition (PS4),,4.6 out of 5 stars,"12,230 ratings",Only 6 left in stock - order soon.
PowerA USB Charging Cable for PlayStation 4,,4.7 out of 5 stars,"33,692 ratings",In Stock
"OIVO PS4 Stand Cooling Fan Station for Playstation 4/PS4 Slim/PS4 Pro, PS4 Pro Vertical Stand with Dual Controller EXT Port Charger Dock Station and 12 Game Slots",,4.5 out of 5 stars,"45,751 ratings",In Stock
Playstation 4 Slim 2TB SSD Console with Dualshock 4 Wireless Controller Bundle Enhanced with Fast Solid State Drive (Renewed),,Previous page of related Sponsored Products,,Not Available
Sony Playstation PS4 1TB Black Console,,4.7 out of 5 stars,"1,522 ratings",Only 1 left in stock - order soon.
PlayStation 4 Slim 1TB Console,,4.7 out of 5 stars,"15,734 ratings",Not Available
PlayStation 4 Slim 500GB Console [Discontinued],,4.6 out of 5 stars,"1,907 ratings",Not Available
PlayStation 4 Slim 1TB Limited Edition Console - Call of Duty WWII Bundle [Discontinued],,4.4 out of 5 stars,739 ratings,Only 5 left in stock - order soon.
"Gaming Keyboard and Mouse and Headset and Mouse Pad, X9 Performance 4 in 1 RGB Gaming Bundle Set Up - Gaming Mouse and Keyboard Combo Kit Works with Xbox One, PS5, PS4",,4.3 out of 5 stars,222 ratings,In Stock
"Dliaonew Wireless Controller for PS4, 2 Pack Remote Control Compatible with PS4/Slim/Pro with Dual Vibration/Audio/Six-axis Motion Sensor/Game Joystick - Camo Red + Camo Green",,4.2 out of 5 stars,301 ratings,In Stock
"RIG 600 PRO HS Dual Wireless Multiplatform Gaming Headset with Bluetooth for PlayStation PS4, PS5, Nintendo Switch, PC, USB & Mobile",,3.8 out of 5 stars,33 ratings,In Stock
